Date,Day,Event,Website,Notes
20-Jun-23,Tuesday,,,
21-Jun-23,Wednesday,,,
22-Jun-23,Thursday,,,
23-Jun-23,Friday,,,
24-Jun-23,Saturday,,,
25-Jun-23,Sunday,,,
26-Jun-23,Monday,,,
27-Jun-23,Tuesday,,,
28-Jun-23,Wednesday,,,
29-Jun-23,Thursday,,,
30-Jun-23,Friday,Long Course Weekend Wales - Swim - 1.2 /2.4 m,https://www.lcwwales.com/,
1-Jul-23,Saturday,"Long Course Weekend Wales - Bike 40,70, 112 miles ",https://www.lcwwales.com/,
2-Jul-23,Sunday,"Long Course Weekend Wales - - 6,13, 26.2 miles  ",https://www.lcwwales.com/,
2-Jul-23,Sunday,Ironman UK ,https://www.ironman.com/im-uk-register,
3-Jul-23,Monday,,,
4-Jul-23,Tuesday,,,
5-Jul-23,Wednesday,,,
6-Jul-23,Thursday,,,
7-Jul-23,Friday,,,
8-Jul-23,Saturday,ironborne relays / sprint ,https://www.140.6miles.co.uk/,
8-Jul-23,Satuaday,Tenfoot swim - Tentstive ,,
9-Jul-23,Sunday,Ironbourne - Aquathon / Middle Distance / Full distance ,https://www.140.6miles.co.uk/,
9-Jul-23,Sunday,Outlaw Half Holkham,https://www.outlawtriathlon.com/holkham/overview/,
10-Jul-23,Monday,,,
11-Jul-23,Tuesday,,,
12-Jul-23,Wednesday,,,
13-Jul-23,Thursday,,,
14-Jul-23,Friday,,,
15-Jul-23,Saturday,,,
16-Jul-23,Sunday,Ironman Swansea 70.3 ,https://www.ironman.com/im703-swansea,
17-Jul-23,Monday,,,
18-Jul-23,Tuesday,,,
19-Jul-23,Wednesday,,,
20-Jul-23,Thursday,,,
21-Jul-23,Friday,,,
22-Jul-23,Saturday,Wales Swim Run ,https://www.thewalesswimrun.com/,
23-Jul-23,Sunday,Cardiff epic trail 10 k ,https://toughrunneruk.com/events/cardiff-epic-10k/,
24-Jul-23,Monday,,,
25-Jul-23,Tuesday,,,
26-Jul-23,Wednesday,,,
27-Jul-23,Thursday,,,
28-Jul-23,Friday,Parc Bryn Bach Aquathlon ,https://www.facebook.com/PBBAquathlonSeries/,
29-Jul-23,Saturday,Outlaw swim - 2.5 and 5 k ,https://www.outlawtriathlon.com/nottingham/overview/,
30-Jul-23,Sunday,Outlaw Nottingham Weekend,https://www.outlawtriathlon.com/nottingham/overview/,
31-Jul-23,Monday,,,
1-Aug-23,Tuesday,,,
2-Aug-23,Wednesday,,,
3-Aug-23,Thursday ,,,
4-Aug-23,Friday,,,
5-Aug-23,Saturday ,GV middle distance Port talbot ,https://www.britishtriathlon.org/events/gv-70.3_14049,
6-Aug-23,Sunday,,,
7-Aug-23,Monday,,,
8-Aug-23,Tuesday,,,
9-Aug-23,Wednesday,,,
10-Aug-23,Thursday ,,,
11-Aug-23,Friday,,,
12-Aug-23,Saturday ,,,
13-Aug-23,Sunday,Port Talbot Half Marathon ,https://porttalbothalfmarathon.co.uk/,
14-Aug-23,Monday,,,
15-Aug-23,Tuesday,,,
16-Aug-23,Wednesday,,,
17-Aug-23,Thursday ,,,
18-Aug-23,Friday,,,
19-Aug-23,Saturday ,,,
20-Aug-23,Sunday,,,
21-Aug-23,Monday,,,
22-Aug-23,Tuesday,,,
23-Aug-23,Wednesday,,,
24-Aug-23,Thursday ,,,
25-Aug-23,Friday,Parc Bryn Bacch Aquathlon ,https://www.facebook.com/PBBAquathlonSeries/,
26-Aug-23,Saturday ,,,
27-Aug-23,Sunday,Severn Bridge Half marathon and 10k ,https://sites.google.com/site/severnbridgehalfmarathon/home,
28-Aug-23,Monday,,,
29-Aug-23,Tuesday,,,
